PENSIONES EN VIGOR A 1 DE ABRIL DE 2024;
JUBILACIÓN;
COMUNIDAD AUTÓNOMA ;
;P.media
TOTAL;1439.11
ANDALUCÍA;1300.92
ARAGÓN;1511.74
ASTURIAS (PRINCIPADO DE);1711.02
BALEARS (ILLES);1327.03
CANARIAS;1326.14
CANTABRIA;1528.06
CASTILLA - LA MANCHA;1343.44
CASTILLA Y LEÓN;1432.66
CATALUÑA;1470.76
COMUNITAT VALENCIANA;1320.31
EXTREMADURA;1207.69
GALICIA;1226.43
MADRID (COM. DE);1659.34
MURCIA (REGIÓN DE);1290.48
NAVARRA (COM. FORAL DE);1616.69
PAÍS VASCO;1760.15
RIOJA (LA);1388.13
Ceuta;1582.65
Melilla;1517.06
Fuente: Seguridad Social. Pensiones contributivas en vigor a 1 de abril 2024. Consulta en mayo 2024.;
https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST23/EST24;
